TransactionID,Item1,Item2,Item3,Item4,Item5,Item6
235,Vodka,Tonic Water,Whisky,Tequila,,
236,Mint,Vodka,Tonic Water,Cheese,Rum,
237,Olives,Mint,Crackers,Lemon,,
238,Nuts,Tequila,Soda,Cider,Lemon,Whisky
239,Cola,Crackers,Vodka,Ice,,
240,Gin,Tequila,Whisky,Brandy,,
241,Gin,Whisky,Beer,,,
242,Orange Juice,Crackers,Whisky,Tequila,,
243,Ice,Cheese,Wine Red,Tonic Water,Gin,
244,Cola,Gin,Soda,,,
245,Soda,Mint,Wine White,Beer,Wine Red,Cheese
246,Chips,Wine Red,Cola,Ice,Rum,
247,Gin,Lemon,,,,
248,Olives,Mint,Cheese,Chips,,
249,Wine White,Beer,,,,
250,Orange Juice,Wine Red,Mint,Brandy,Soda,Gin
251,Chips,Soda,Whisky,,,
252,Wine Red,Chips,,,,
253,Crackers,Orange Juice,Beer,Cider,Lemon,Olives
254,Tonic Water,Vodka,Tequila,Wine Red,Soda,
255,Whisky,Tequila,,,,
256,Orange Juice,Tequila,Mint,Rum,,
257,Chips,Gin,,,,
258,Brandy,Tequila,,,,
259,Tequila,Wine Red,Wine White,Tonic Water,,
260,Cheese,Cola,Wine Red,Nuts,,
261,Beer,Nuts,Tonic Water,,,
262,Mint,Lemon,Orange Juice,Soda,Brandy,
263,Cola,Crackers,,,,
264,Chips,Cider,Cheese,Whisky,,
265,Lemon,Soda,,,,
266,Orange Juice,Chips,Gin,Tequila,Brandy,Cheese
267,Wine White,Cider,,,,
268,Gin,Cider,Whisky,Crackers,Mint,
269,Rum,Olives,Lemon,,,
270,Whisky,Rum,Crackers,Lemon,Olives,Chips
271,Vodka,Whisky,,,,
272,Nuts,Tonic Water,Chips,,,
273,Ice,Tequila,Cola,Soda,Chips,Vodka
274,Tonic Water,Chips,Brandy,Orange Juice,,
275,Mint,Orange Juice,Wine White,Rum,Nuts,Gin
276,Tequila,Wine White,Cider,Olives,Cola,Cheese
277,Ice,Tonic Water,Cola,Whisky,Wine Red,
278,Wine White,Chips,,,,
279,Vodka,Beer,Gin,,,
280,Soda,Tequila,Vodka,,,
281,Vodka,Wine Red,,,,
282,Mint,Tonic Water,Beer,Nuts,Lemon,
283,Lemon,Mint,Rum,Crackers,,
284,Brandy,Wine Red,Cider,Gin,,
285,Lemon,Chips,Nuts,Rum,Brandy,Wine Red
286,Brandy,Lemon,Crackers,Wine White,Tonic Water,Beer
287,Cheese,Wine Red,Beer,Whisky,,
288,Mint,Cola,Soda,,,
289,Wine White,Vodka,Brandy,Soda,Tequila,Olives
290,Ice,Tonic Water,Wine Red,Chips,,
291,Nuts,Cider,Crackers,Wine White,,
292,Orange Juice,Tonic Water,Lemon,Olives,Soda,
293,Ice,Tequila,Wine Red,Cola,Beer,Brandy
294,Brandy,Mint,Cider,Wine Red,Tequila,
295,Cheese,Tonic Water,Whisky,Wine Red,Cola,Ice
296,Tequila,Gin,Brandy,,,
297,Wine White,Cheese,Gin,Vodka,Cola,Brandy
298,Tequila,Whisky,Beer,Chips,Rum,
299,Orange Juice,Lemon,,,,
300,Wine White,Tonic Water,Orange Juice,Cider,Cheese,
301,Mint,Tequila,Tonic Water,,,
302,Gin,Crackers,Wine Red,Beer,Chips,Olives
303,Cider,Nuts,Lemon,Gin,Mint,
304,Rum,Whisky,Mint,,,
305,Beer,Rum,Vodka,Chips,,
306,Tonic Water,Whisky,,,,
307,Olives,Ice,,,,
308,Orange Juice,Chips,Olives,Lemon,,
309,Vodka,Crackers,Cola,Ice,Olives,Mint
310,Olives,Tonic Water,Wine White,Beer,,
311,Brandy,Vodka,Lemon,Nuts,Cola,Mint
312,Olives,Wine White,Orange Juice,Cola,Whisky,
313,Wine Red,Brandy,,,,
314,Wine White,Tonic Water,Whisky,Chips,,
315,Nuts,Brandy,Chips,Mint,,
316,Olives,Gin,,,,
317,Soda,Vodka,Brandy,Cider,,
318,Lemon,Beer,Cider,Gin,,
319,Gin,Ice,,,,
320,Olives,Ice,Orange Juice,Cola,Wine White,
321,Brandy,Olives,Beer,Cider,Vodka,
322,Mint,Cheese,,,,
323,Vodka,Gin,Wine White,Cola,Soda,Ice
324,Tonic Water,Mint,Chips,,,
325,Gin,Olives,,,,
326,Cola,Mint,Crackers,Wine Red,Orange Juice,
327,Olives,Cola,Ice,Brandy,Whisky,Chips
328,Whisky,Beer,Cider,Rum,Cheese,Soda
329,Mint,Beer,Orange Juice,,,
330,Beer,Cola,Wine White,,,
331,Soda,Cider,Vodka,Chips,Wine White,
332,Wine White,Cheese,Orange Juice,Gin,Vodka,
333,Tequila,Lemon,Tonic Water,Gin,,
334,Mint,Whisky,,,,
335,Cider,Crackers,Wine Red,,,
336,Nuts,Gin,Ice,,,
337,Rum,Wine White,,,,
338,Vodka,Ice,Wine White,,,
339,Beer,Nuts,,,,
340,Rum,Nuts,Whisky,,,
341,Soda,Mint,Wine White,Ice,Gin,
342,Beer,Tonic Water,Tequila,Rum,Crackers,
343,Chips,Olives,Tonic Water,,,
344,Vodka,Lemon,Olives,,,
345,Vodka,Tonic Water,,,,
346,Gin,Cheese,,,,
347,Lemon,Wine Red,,,,
348,Vodka,Chips,Cola,,,
349,Brandy,Orange Juice,Tequila,,,
350,Tonic Water,Olives,Soda,Crackers,,
351,Mint,Cola,Chips,,,
352,Tequila,Soda,Beer,Gin,,
353,Cola,Olives,Rum,Brandy,Wine White,Vodka
354,Chips,Nuts,Wine Red,Cheese,Brandy,Whisky
355,Chips,Mint,Ice,Rum,Tequila,
356,Cider,Nuts,Tonic Water,Wine White,Vodka,
357,Cola,Chips,Nuts,Wine White,Vodka,Rum
358,Cheese,Tequila,Ice,Beer,,
359,Beer,Tequila,Whisky,Wine White,,
360,Ice,Beer,Wine White,Cola,,
361,Gin,Olives,Nuts,Cola,Brandy,
362,Beer,Brandy,Chips,Cider,Vodka,
363,Cider,Beer,Ice,Whisky,,
364,Mint,Beer,Wine White,Cheese,Rum,
365,Nuts,Soda,Lemon,Cider,,
366,Crackers,Ice,Rum,Mint,Cider,
367,Tonic Water,Cheese,Nuts,,,
368,Tonic Water,Orange Juice,Cola,Mint,Vodka,
369,Tonic Water,Cider,Whisky,,,
370,Wine White,Orange Juice,Brandy,Nuts,Cheese,
371,Vodka,Nuts,,,,
372,Brandy,Cola,Cider,Olives,Chips,Lemon
373,Tequila,Wine White,,,,
374,Wine White,Tonic Water,Beer,,,
375,Cheese,Cola,,,,
376,Wine Red,Tequila,Crackers,,,
377,Ice,Wine Red,Tequila,Olives,,
378,Soda,Cider,Wine Red,Cola,,
379,Crackers,Beer,Brandy,Cheese,Tequila,
380,Beer,Wine White,Olives,,,
381,Nuts,Beer,Tequila,Vodka,,
382,Chips,Nuts,,,,
383,Brandy,Cider,,,,
384,Tequila,Mint,Beer,Chips,Brandy,
385,Cheese,Mint,Tonic Water,Lemon,,
386,Cheese,Mint,Soda,,,
387,Wine White,Soda,Beer,Tequila,,
388,Cider,Gin,Ice,Cheese,,
389,Whisky,Lemon,,,,
390,Rum,Cheese,Soda,Orange Juice,Crackers,
391,Orange Juice,Wine Red,Olives,,,
392,Brandy,Cheese,Cola,Orange Juice,,
393,Whisky,Mint,,,,
394,Mint,Cider,Lemon,,,
395,Tequila,Soda,,,,
396,Ice,Chips,,,,
397,Brandy,Cheese,Ice,Chips,Tonic Water,Gin
398,Cheese,Tequila,Cola,,,
399,Orange Juice,Whisky,Gin,,,
400,Chips,Beer,Orange Juice,,,
401,Cider,Soda,Rum,Tonic Water,,
402,Gin,Brandy,,,,
403,Cider,Whisky,Crackers,,,
404,Rum,Soda,Gin,Beer,,
405,Soda,Orange Juice,Crackers,Lemon,,
406,Cider,Ice,Nuts,Rum,Gin,Chips
407,Lemon,Tequila,Olives,,,
408,Gin,Soda,Brandy,Tonic Water,,
409,Nuts,Wine White,Beer,Mint,Gin,Olives
410,Orange Juice,Cola,,,,
411,Wine Red,Tonic Water,Whisky,Nuts,Mint,Beer
412,Beer,Soda,Olives,Cola,,
413,Rum,Tequila,,,,
414,Lemon,Cider,Soda,Whisky,,
415,Ice,Gin,,,,
416,Tonic Water,Cola,Wine Red,Rum,Cider,Beer
417,Tequila,Cider,Chips,Ice,Cheese,
418,Cider,Ice,Gin,Wine Red,Cola,Crackers
419,Brandy,Cheese,Cider,,,
420,Mint,Wine Red,Tequila,,,
421,Cheese,Mint,Tequila,Lemon,,
422,Tequila,Orange Juice,Tonic Water,,,
423,Cider,Beer,Wine Red,Tonic Water,Mint,
424,Wine White,Beer,Orange Juice,Cider,Cola,Crackers
425,Mint,Wine White,Olives,Lemon,Gin,
426,Nuts,Chips,Rum,Cider,,
427,Wine White,Cider,Whisky,Tonic Water,Ice,Soda
428,Gin,Tonic Water,Ice,,,
429,Whisky,Orange Juice,,,,
430,Whisky,Beer,Wine White,Olives,,
431,Olives,Tonic Water,Soda,Wine Red,Crackers,Mint
432,Tequila,Vodka,Beer,Tonic Water,,
433,Wine White,Whisky,,,,
434,Whisky,Mint,Ice,Tequila,Tonic Water,
435,Olives,Orange Juice,Cheese,Cider,Ice,Crackers
436,Rum,Vodka,Orange Juice,,,
437,Mint,Ice,Tonic Water,Lemon,Cider,
438,Orange Juice,Beer,Lemon,,,
439,Soda,Mint,Tequila,,,
440,Chips,Rum,Olives,Wine White,Mint,
441,Olives,Gin,Chips,,,
442,Gin,Cheese,,,,
443,Orange Juice,Cider,Whisky,Tequila,Gin,
444,Nuts,Cheese,,,,
445,Beer,Cheese,Crackers,,,
446,Beer,Tequila,Whisky,,,
447,Cola,Wine Red,Whisky,Olives,,
448,Vodka,Wine Red,,,,
449,Lemon,Rum,Whisky,Wine Red,Orange Juice,Cola
450,Whisky,Olives,Orange Juice,Rum,,
451,Tequila,Ice,Lemon,Rum,Tonic Water,Vodka
452,Cola,Gin,,,,
453,Olives,Rum,Wine Red,Mint,,
454,Wine White,Chips,,,,
455,Cheese,Lemon,,,,
456,Vodka,Tequila,Whisky,Rum,,
457,Orange Juice,Lemon,Nuts,Olives,Wine White,
458,Whisky,Soda,Mint,Wine Red,,
459,Olives,Cider,Lemon,,,
460,Crackers,Cola,Brandy,,,
461,Whisky,Vodka,Rum,Wine White,Crackers,Brandy
462,Olives,Gin,Whisky,Lemon,Mint,Cheese
463,Cola,Wine White,Whisky,Gin,,
464,Orange Juice,Chips,Olives,Beer,,
465,Cider,Gin,Cheese,Brandy,Mint,
466,Gin,Brandy,Rum,Cider,,
467,Wine White,Ice,,,,
468,Beer,Cheese,Tonic Water,Chips,Vodka,
469,Rum,Mint,Cheese,Gin,,
470,Cider,Mint,Gin,Chips,,
471,Gin,Crackers,,,,
472,Mint,Tonic Water,Rum,,,
473,Wine Red,Nuts,Mint,Wine White,Olives,
474,Cider,Wine Red,Brandy,Orange Juice,,
475,Tonic Water,Chips,Olives,Whisky,Crackers,Ice
476,Soda,Crackers,Whisky,,,
477,Ice,Tequila,Brandy,Cider,Olives,
478,Orange Juice,Mint,Vodka,Ice,Tonic Water,Soda
479,Cider,Cheese,Chips,Tequila,,
480,Nuts,Brandy,Ice,,,
481,Whisky,Brandy,Ice,Chips,Wine White,
482,Nuts,Cheese,,,,
483,Wine White,Tonic Water,Cola,Cider,Whisky,Rum
484,Rum,Olives,,,,
485,Tequila,Vodka,Soda,,,
486,Vodka,Soda,Mint,Cheese,,
487,Vodka,Ice,Chips,,,
488,Gin,Cider,Cola,Tequila,Olives,
489,Crackers,Mint,,,,
490,Chips,Tonic Water,Orange Juice,Gin,Brandy,Wine Red
491,Brandy,Gin,Mint,Vodka,,
492,Soda,Cola,,,,
493,Crackers,Cider,Gin,Olives,,
494,Vodka,Ice,Nuts,Soda,Beer,
495,Cider,Cheese,,,,
496,Rum,Wine Red,,,,
497,Vodka,Mint,Wine White,Olives,Cider,
498,Rum,Nuts,,,,
499,Ice,Chips,Olives,,,
500,Brandy,Wine White,Beer,Mint,Crackers,Cider
